Index Return (%),Buffer 10%,Floor -10%,FIA Capped
-30.0,-20.0,-10.0,0.0
-29.4,-19.4,-10.0,0.0
-28.799999999999997,-18.799999999999997,-10.0,0.0
-28.199999999999996,-18.199999999999996,-10.0,0.0
-27.599999999999998,-17.599999999999998,-10.0,0.0
-27.0,-17.0,-10.0,0.0
-26.400000000000002,-16.400000000000002,-10.0,0.0
-25.8,-15.8,-10.0,0.0
-25.2,-15.2,-10.0,0.0
-24.6,-14.6,-10.0,0.0
-24.0,-13.999999999999998,-10.0,0.0
-23.4,-13.399999999999999,-10.0,0.0
-22.799999999999997,-12.799999999999997,-10.0,0.0
-22.199999999999996,-12.199999999999998,-10.0,0.0
-21.599999999999998,-11.599999999999996,-10.0,0.0
-21.0,-10.999999999999998,-10.0,0.0
-20.4,-10.399999999999999,-10.0,0.0
-19.799999999999997,-9.799999999999997,-10.0,0.0
-19.2,-9.2,-10.0,0.0
-18.6,-8.6,-10.0,0.0
-18.0,-7.999999999999999,-10.0,0.0
-17.4,-7.399999999999999,-10.0,0.0
-16.799999999999997,-6.799999999999998,-10.0,0.0
-16.2,-6.1999999999999975,-10.0,0.0
-15.599999999999998,-5.599999999999997,-10.0,0.0
-15.0,-4.999999999999999,-10.0,0.0
-14.399999999999999,-4.399999999999999,-10.0,0.0
-13.799999999999999,-3.799999999999998,-10.0,0.0
-13.199999999999998,-3.1999999999999975,-10.0,0.0
-12.599999999999998,-2.599999999999997,-10.0,0.0
-12.0,-1.9999999999999991,-10.0,0.0
-11.399999999999999,-1.3999999999999986,-10.0,0.0
-10.799999999999999,-0.7999999999999979,-10.0,0.0
-10.199999999999998,-0.1999999999999974,-10.0,0.0
-9.599999999999998,0.0,-9.599999999999998,0.0
-9.0,0.0,-9.0,0.0
-8.399999999999999,0.0,-8.399999999999999,0.0
-7.799999999999999,0.0,-7.799999999999999,0.0
-7.199999999999998,0.0,-7.199999999999998,0.0
-6.599999999999998,0.0,-6.599999999999998,0.0
-6.0,0.0,-6.0,0.0
-5.3999999999999995,0.0,-5.3999999999999995,0.0
-4.799999999999999,0.0,-4.799999999999999,0.0
-4.199999999999998,0.0,-4.199999999999998,0.0
-3.599999999999998,0.0,-3.599999999999998,0.0
-2.9999999999999973,0.0,-2.9999999999999973,0.0
-2.399999999999997,0.0,-2.399999999999997,0.0
-1.799999999999996,0.0,-1.799999999999996,0.0
-1.1999999999999955,0.0,-1.1999999999999955,0.0
-0.6000000000000005,0.0,-0.6000000000000005,0.0
0.0,0.0,0.0,0.0
0.6000000000000005,0.6000000000000005,0.6000000000000005,0.6000000000000005
1.200000000000001,1.200000000000001,1.200000000000001,1.200000000000001
1.8000000000000016,1.8000000000000016,1.8000000000000016,1.8000000000000016
2.400000000000002,2.400000000000002,2.400000000000002,2.400000000000002
3.0000000000000027,3.0000000000000027,3.0000000000000027,3.0000000000000027
3.600000000000003,3.600000000000003,3.600000000000003,3.600000000000003
4.200000000000004,4.200000000000004,4.200000000000004,4.200000000000004
4.800000000000004,4.800000000000004,4.800000000000004,4.800000000000004
5.3999999999999995,5.3999999999999995,5.3999999999999995,5.3999999999999995
6.0,6.0,6.0,6.0
6.6000000000000005,6.6000000000000005,6.6000000000000005,6.6000000000000005
7.200000000000001,7.200000000000001,7.200000000000001,7.200000000000001
7.800000000000002,7.800000000000002,7.800000000000002,7.800000000000002
8.400000000000002,8.400000000000002,8.400000000000002,8.0
9.000000000000002,9.000000000000002,9.000000000000002,8.0
9.600000000000003,9.600000000000003,9.600000000000003,8.0
10.200000000000003,10.200000000000003,10.200000000000003,8.0
10.800000000000004,10.800000000000004,10.800000000000004,8.0
11.400000000000004,11.400000000000004,11.400000000000004,8.0
12.0,12.0,12.0,8.0
12.6,12.0,12.0,8.0
13.200000000000001,12.0,12.0,8.0
13.8,12.0,12.0,8.0
14.400000000000002,12.0,12.0,8.0
15.000000000000002,12.0,12.0,8.0
15.600000000000003,12.0,12.0,8.0
16.200000000000003,12.0,12.0,8.0
16.800000000000004,12.0,12.0,8.0
17.400000000000006,12.0,12.0,8.0
18.0,12.0,12.0,8.0
18.6,12.0,12.0,8.0
19.2,12.0,12.0,8.0
19.8,12.0,12.0,8.0
20.400000000000002,12.0,12.0,8.0
21.000000000000004,12.0,12.0,8.0
21.6,12.0,12.0,8.0
22.200000000000003,12.0,12.0,8.0
22.800000000000004,12.0,12.0,8.0
23.400000000000006,12.0,12.0,8.0
24.000000000000004,12.0,12.0,8.0
24.600000000000005,12.0,12.0,8.0
25.200000000000006,12.0,12.0,8.0
25.800000000000008,12.0,12.0,8.0
26.400000000000006,12.0,12.0,8.0
27.000000000000007,12.0,12.0,8.0
27.60000000000001,12.0,12.0,8.0
28.199999999999996,12.0,12.0,8.0
28.799999999999997,12.0,12.0,8.0
29.4,12.0,12.0,8.0
30.0,12.0,12.0,8.0
